# Temp(K) density_box1(kg/cm3) std density_box2(kg/cm3) std
205 0 0 1041.05 10.3442
225 927.596 30.604 0.711864 0.541297
225 981.371 8.38455 43.3506 0.87319
245 926.772 28.2814 2.22008 0.844944
245 950.32 9.58101 48.3333 1.19327
265 906.43 13.9981 9.88495 3.62292
285 857.216 12.4187 22.7907 3.13864
305 809.729 15.8011 47.5239 4.02691
325 75.0314 6.8376 737.675 19.1286
345 119.965 10.0811 623.439 43.3153
365 235.647 18.4171 230.535 53.9834
385 233.431 18.1991 235.796 30.4009
395 241.99 29.3836 232.766 11.2816
